"Entity ID","Individual Test Solutions","Remote Testing","Adaptive/IRT","Test Type","Description","Job Levels","Languages","Assessment Length","Fact Sheet Link","Sample Report Link"
"4302","Global Skills Development Report","Yes","No","A, E, B, C, D, P","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,","N/A","N/A","N/A","https://service.shl.com/docs/Global%20Skills%20Development%20Report%20International%20English.pdf"
"3827",".NET Framework 4.5","Yes","Yes","K","The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,","English (USA),","Approximate Completion Time in minutes = 30","https://service.shl.com/docs/Fact_Sheet-dotnet_framework_4.5.pdf","N/A"
"4094",".NET MVC (New)","Yes","No","K","Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 17","https://service.shl.com/docs/.NET%20MVC%20(New).pdf","N/A"
"4099",".NET MVVM (New)","Yes","No","K","Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/.NET%20MVVM%20(New).pdf","N/A"
"4018",".NET WCF (New)","Yes","No","K","Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 11","https://service.shl.com/docs/.NET%20WCF%20(New).pdf","N/A"
"4016",".NET WPF (New)","Yes","No","K","Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/.NET%20WPF%20(New).pdf","N/A"
"4165",".NET XAML (New)","Yes","No","K","Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 5","https://service.shl.com/docs/.NET%20XAML%20(New).pdf","N/A"
"4178","Accounts Payable (New)","Yes","No","K","Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 9","https://service.shl.com/docs/Accounts%20Payable%20(New).pdf","https://service.shl.com/docs/Accounts%20Payable%20(New)%20Sample%20Report.pdf"
"4187","Accounts Payable Simulation (New)","Yes","No","S","Simulated data entry test that measures the ability to process payables and vendor invoices.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 8","https://service.shl.com/docs/Accounts%20Payable%20Simulation%20(New).pdf","https://service.shl.com/docs/Accounts%20Payable%20Simulation%20(New)%20Sample%20Report.pdf"
"4179","Accounts Receivable (New)","Yes","No","K","Multiple-choice test that measures the knowledge of processing receivables and invoices.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Approximate Completion Time in minutes = 13","https://service.shl.com/docs/Accounts%20Receivable%20(New).pdf","https://service.shl.com/docs/Accounts%20Receivable%20(New)%20Sample%20Report.pdf"
